"id","shock.stage","instar","temp.avg","temp.var","hs.temp","hs.num","date.died","date.hatch","date.ovp","time.ovp","num.ovp","date.3","mass.in.hs","inst.in.hs","date.in.hs","time.in.hs","date.out.hs","time.out.hs","date.4","date.5","date.p5.1","mass.p5.1","instar.p5.1","date.p5.2","mass.p5.2","inst.p5.2","date.p5.3","mass.p5.3","inst.p5.3","date.p5.4","mass.p5.4","inst.p5.4","date.cull","date.wand","date.em","instar.em","bled.em","num.em","num.coc","num.fail.spin","date.ecl","num.ecl","fem.ecl","male.ecl","fem.mass","male.mass","num.unem.mat","num.unem.im","mat.load","tot.load","mass.unem","mass.fail.spin","pup","moth.ecl","pv.dna","gen.notes","diss.notes","date.died.j","date.hatch.j","date.ovp.j","date.3.j","date.in.hs.j","date.out.hs.j","date.4.j","date.5.j","date.p5.1.j","date.p5.2.j","date.p5.3.j","date.p5.4.j","date.cull.j","date.wand.j","date.em.j","date.ecl.j","died.bf5","time.ovp.dec","time.in.hs.dec","time.out.hs.dec","tt3","tt4","tt5","ttp5.1","ttp5.2","ttp5.3","ttp5.4","ttwand","ttcull","ttem.h","ttem.w","ttecl","ps.em","ps.ecl","ind.male.mass","ind.fem.mass","tot.unem","p.unem.mat","p.unem.im","hs.cal","mass","age"
80,"late","cull",25,10,42,3,NA,"10/19/18","10/24/18",10:04:00,1,"10/24/18","1572.82",5,"11/4/18",11:15:00,"11/6/18",16:53:00,"10/28/18","11/3/18","11/10/18",3100.66,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43417.00",5,0,16,13,3,"11/19/18",8,3,5,0.82,1.09,45,51,"61",112,NA,NA,NA,NA,NA,NA,NA,0,293,298,298,309,311,302,308,315,NA,NA,NA,NA,NA,NA,324,"0",10.0666666666667,11.25,16.8833333333333,5,9,15,22,NA,NA,NA,NA,NA,NA,NA,26,0.142857142857143,0.0714285714285714,0.218,0.273333333333333,96,0.46875,0.53125,"high",NA,NA
80,"late","em",25,10,42,3,NA,"10/19/18","10/24/18",10:04:00,1,"10/24/18","1572.82",5,"11/4/18",11:15:00,"11/6/18",16:53:00,"10/28/18","11/3/18","11/10/18",3100.66,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43417.00",5,0,16,13,3,"11/19/18",8,3,5,0.82,1.09,45,51,"61",112,NA,NA,NA,NA,NA,NA,NA,0,293,298,298,309,311,302,308,315,NA,NA,NA,NA,NA,NA,324,"0",10.0666666666667,11.25,16.8833333333333,5,9,15,22,NA,NA,NA,NA,NA,NA,NA,26,0.142857142857143,0.0714285714285714,0.218,0.273333333333333,96,0.46875,0.53125,"high","3475.82",NA
80,"late","wand",25,10,42,3,NA,"10/19/18","10/24/18",10:04:00,1,"10/24/18","1572.82",5,"11/4/18",11:15:00,"11/6/18",16:53:00,"10/28/18","11/3/18","11/10/18",3100.66,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43417.00",5,0,16,13,3,"11/19/18",8,3,5,0.82,1.09,45,51,"61",112,NA,NA,NA,NA,NA,NA,NA,0,293,298,298,309,311,302,308,315,NA,NA,NA,NA,NA,NA,324,"0",10.0666666666667,11.25,16.8833333333333,5,9,15,22,NA,NA,NA,NA,NA,NA,NA,26,0.142857142857143,0.0714285714285714,0.218,0.273333333333333,96,0.46875,0.53125,"high",NA,NA
81,"mid","3",25,10,42,3,NA,"10/19/18","10/24/18",09:58:00,1,"10/24/18","181.20",3,"10/28/18",12:05:00,"10/30/18",16:14:00,"10/29/18","11/4/18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43413.00",5,0,49,47,2,"11/16/18",45,24,21,8.14,4.13,20,11,"69",80,NA,NA,NA,NA,NA,NA,NA,0,293,298,298,302,304,303,309,NA,NA,NA,NA,NA,NA,NA,321,"0",9.96666666666667,12.0833333333333,16.2333333333333,5,10,16,NA,NA,NA,NA,NA,NA,NA,NA,23,0.6125,0.5625,0.196666666666667,0.339166666666667,31,0.645161290322581,0.354838709677419,"high","50.4",5
81,"mid","4",25,10,42,3,NA,"10/19/18","10/24/18",09:58:00,1,"10/24/18","181.20",3,"10/28/18",12:05:00,"10/30/18",16:14:00,"10/29/18","11/4/18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43413.00",5,0,49,47,2,"11/16/18",45,24,21,8.14,4.13,20,11,"69",80,NA,NA,NA,NA,NA,NA,NA,0,293,298,298,302,304,303,309,NA,NA,NA,NA,NA,NA,NA,321,"0",9.96666666666667,12.0833333333333,16.2333333333333,5,10,16,NA,NA,NA,NA,NA,NA,NA,NA,23,0.6125,0.5625,0.196666666666667,0.339166666666667,31,0.645161290322581,0.354838709677419,"high","157.97",10
81,"mid","5",25,10,42,3,NA,"10/19/18","10/24/18",09:58:00,1,"10/24/18","181.20",3,"10/28/18",12:05:00,"10/30/18",16:14:00,"10/29/18","11/4/18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43413.00",5,0,49,47,2,"11/16/18",45,24,21,8.14,4.13,20,11,"69",80,NA,NA,NA,NA,NA,NA,NA,0,293,298,298,302,304,303,309,NA,NA,NA,NA,NA,NA,NA,321,"0",9.96666666666667,12.0833333333333,16.2333333333333,5,10,16,NA,NA,NA,NA,NA,NA,NA,NA,23,0.6125,0.5625,0.196666666666667,0.339166666666667,31,0.645161290322581,0.354838709677419,"high","471.71",16
81,"mid","cull",25,10,42,3,NA,"10/19/18","10/24/18",09:58:00,1,"10/24/18","181.20",3,"10/28/18",12:05:00,"10/30/18",16:14:00,"10/29/18","11/4/18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43413.00",5,0,49,47,2,"11/16/18",45,24,21,8.14,4.13,20,11,"69",80,NA,NA,NA,NA,NA,NA,NA,0,293,298,298,302,304,303,309,NA,NA,NA,NA,NA,NA,NA,321,"0",9.96666666666667,12.0833333333333,16.2333333333333,5,10,16,NA,NA,NA,NA,NA,NA,NA,NA,23,0.6125,0.5625,0.196666666666667,0.339166666666667,31,0.645161290322581,0.354838709677419,"high",NA,NA
81,"mid","em",25,10,42,3,NA,"10/19/18","10/24/18",09:58:00,1,"10/24/18","181.20",3,"10/28/18",12:05:00,"10/30/18",16:14:00,"10/29/18","11/4/18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43413.00",5,0,49,47,2,"11/16/18",45,24,21,8.14,4.13,20,11,"69",80,NA,NA,NA,NA,NA,NA,NA,0,293,298,298,302,304,303,309,NA,NA,NA,NA,NA,NA,NA,321,"0",9.96666666666667,12.0833333333333,16.2333333333333,5,10,16,NA,NA,NA,NA,NA,NA,NA,NA,23,0.6125,0.5625,0.196666666666667,0.339166666666667,31,0.645161290322581,0.354838709677419,"high","1476.93",NA
81,"mid","wand",25,10,42,3,NA,"10/19/18","10/24/18",09:58:00,1,"10/24/18","181.20",3,"10/28/18",12:05:00,"10/30/18",16:14:00,"10/29/18","11/4/18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43413.00",5,0,49,47,2,"11/16/18",45,24,21,8.14,4.13,20,11,"69",80,NA,NA,NA,NA,NA,NA,NA,0,293,298,298,302,304,303,309,NA,NA,NA,NA,NA,NA,NA,321,"0",9.96666666666667,12.0833333333333,16.2333333333333,5,10,16,NA,NA,NA,NA,NA,NA,NA,NA,23,0.6125,0.5625,0.196666666666667,0.339166666666667,31,0.645161290322581,0.354838709677419,"high",NA,NA
82,"control","3",25,10,42,3,NA,"10/19/18","10/24/18",10:05:00,1,"10/24/18","FALSE",NA,NA,NA,NA,NA,"10/29/18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43409.00",4,1,64,50,14,"11/12/18",40,9,31,1.94,5.23,57,3,"121",124,NA,NA,NA,NA,NA,NA,"3 young immature 2nds, no 1sts seen",0,293,298,298,0,NA,303,NA,NA,NA,NA,NA,NA,NA,NA,317,"0",10.0833333333333,NA,NA,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,0.516129032258065,0.32258064516129,0.168709677419355,0.215555555555556,60,0.95,0.05,"none","59.91",5
