"id","shock.stage","temp.avg","temp.var","hs.temp","hs.num","date.died","date.hatch","date.ovp","time.ovp","num.ovp","date.3","mass.3","mass.in.hs","inst.in.hs","date.in.hs","time.in.hs","date.out.hs","time.out.hs","date.4","mass.4","date.5","mass.5","date.p5.1","mass.p5.1","instar.p5.1","date.p5.2","mass.p5.2","inst.p5.2","date.p5.3","mass.p5.3","inst.p5.3","date.p5.4","mass.p5.4","inst.p5.4","date.cull","mass.cull","date.wand","mass.wand","date.em","instar.em","bled.em","mass.48em","num.em","num.coc","num.fail.spin","date.ecl","num.ecl","fem.ecl","male.ecl","fem.mass","male.mass","num.unem.mat","num.unem.im","mat.load","tot.load","mass.unem","mass.fail.spin","pup","moth.ecl","pv.dna","gen.notes","diss.notes","date.died.j","date.hatch.j","date.ovp.j","date.3.j","date.in.hs.j","date.out.hs.j","date.4.j","date.5.j","date.p5.1.j","date.p5.2.j","date.p5.3.j","date.p5.4.j","date.cull.j","date.wand.j","date.em.j","date.ecl.j","died.bf5","time.ovp.dec","time.in.hs.dec","time.out.hs.dec","tt3","tt4","tt5","ttp5.1","ttp5.2","ttp5.3","ttp5.4","ttwand","ttcull","ttem.h","ttem.w","ttecl","ps.em","ps.ecl","ind.male.mass","ind.fem.mass","tot.unem","p.unem.mat","p.unem.im","hs.cal"
11,"late",25,10,42,3,NA,"10/16/18","10/21/18",11:12:00,1,"10/21/18",52.12,"2141.16",5,"10/31/18",09:05:00,"11/2/18",16:20:00,"10/25/18",274.12,"10/30/18",1539.96,"11/6/18",3863.16,"5","11/13/18",3856.16,"5","11/20/18",3498.16,"cull",NA,NA,NA,"11/20/18","3498.16",NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"0",0,NA,NA,NA,NA,NA,"wasp colony density low at ovp",NA,0,290,295,295,305,307,299,304,311,318,325,NA,325,NA,NA,NA,"0",11.2,9.08333333333333,16.3333333333333,5,9,14,21,28,35,NA,NA,35,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"high"
12,"control",25,10,0,0,NA,"10/16/18","10/21/18",11:26:00,1,"10/21/18",59.6,"FALSE",NA,NA,NA,NA,NA,"10/25/18",303.29,"10/30/18",1495.44,"11/6/18",3146.79,"em",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11/4/18",5,0,"3146.79",125,84,41,"11/10/18",65,39,26,12.97,6.09,12,2,"137",139,NA,NA,NA,NA,NA,"wasp colony density low at ovp","2 immature 2nds, no 1sts seen",0,290,295,295,0,NA,299,304,311,NA,NA,NA,NA,NA,309,315,"0",11.4333333333333,NA,NA,5,9,14,21,NA,NA,NA,NA,NA,19,14,20,0.899280575539568,0.467625899280576,0.234230769230769,0.332564102564103,14,0.857142857142857,0.142857142857143,"none"
13,"late",25,10,42,3,NA,"10/16/18","10/21/18",11:09:00,2,"10/21/18",50.26,"1605.14",5,"10/31/18",09:05:00,"11/2/18",16:20:00,"10/25/18",208.06,"10/30/18",1132.25,"11/6/18",3654.76,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11/6/18",5,0,"3425.61",4,1,3,NA,0,0,0,0,0,146,38,"150",188,NA,NA,NA,NA,NA,"wasp colony density low at ovp","38 immature 2nds, 2 1sts.",0,290,295,295,305,307,299,304,311,NA,NA,NA,NA,NA,311,NA,"0",11.15,9.08333333333333,16.3333333333333,5,9,14,21,NA,NA,NA,NA,NA,21,16,NA,0.0212765957446809,0,NA,NA,184,0.793478260869565,0.206521739130435,"high"
14,"early",25,10,42,3,"10/24/18","10/18/18","10/22/18",12:23:00,1,"10/22/18",44.82,"44.82",3,"10/22/18",12:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"0",0,NA,NA,NA,NA,NA,"wasp colony density low at ovp",NA,298,292,296,296,296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",12.3833333333333,12.5,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"high"
15,"mid",25,10,42,3,NA,"10/18/18","10/22/18",12:39:00,1,"10/22/18",44.74,"210.55",3,"10/26/18",10:20:00,"10/28/18",20:45:00,"10/27/18",157.68,"11/2/18",336.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11/9/18",5,0,"2137.75",54,45,9,"11/15/18",37,16,21,3.49,3.64,52,24,"106",130,NA,NA,NA,NA,NA,"wasp colony density low at ovp. removed cuticle from 4-5th prolegs at molt to 4th. removed cuticle from 4th proleg after molt into 5th.","24 immature 2nds, not counted, stored separately. at least 16 1sts",0,292,296,296,300,302,301,307,NA,NA,NA,NA,NA,NA,314,320,"0",12.65,10.3333333333333,20.75,4,9,15,NA,NA,NA,NA,NA,NA,22,18,24,0.415384615384615,0.284615384615385,0.173333333333333,0.218125,76,0.684210526315789,0.315789473684211,"high"
16,"late",25,10,42,3,"10/24/18","10/18/18","10/22/18",12:51:00,1,"10/22/18",37.81,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"0",0,NA,NA,NA,NA,NA,"wasp colony density low at ovp",NA,298,292,296,296,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",12.85,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"none"
17,"control",25,10,0,0,NA,"10/18/18","10/22/18",12:35:00,2,"10/22/18",41.1,"FALSE",NA,NA,NA,NA,NA,"10/26/18",225.37,"10/31/18",1299.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11/5/18",5,0,"3231.41",160,138,22,"11/11/18",98,19,79,4.88,16.36,11,0,"171",171,NA,NA,NA,NA,NA,"wasp colony density low at ovp",NA,0,292,296,296,0,NA,300,305,NA,NA,NA,NA,NA,NA,310,316,"0",12.5833333333333,NA,NA,4,8,13,NA,NA,NA,NA,NA,NA,18,14,20,0.935672514619883,0.573099415204678,0.207088607594937,0.256842105263158,11,1,0,"none"
18,"early",25,10,42,3,NA,"10/18/18","10/22/18",12:22:00,1,"10/22/18",46.12,"46.12",3,"10/22/18",12:30:00,"10/24/18",16:25:00,"10/27/18",286.86,"11/1/18",1150.47,"11/8/18",10901.34,"5","11/15/18",13988.54,"5","11/22/18",13671.77,"cull",NA,NA,NA,"11/22/18","13671.77",NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"0",0,NA,NA,NA,NA,NA,"wasp colony density low at ovp. purple and dying on 11/24/18, marked last p5 measurement as cull",NA,0,292,296,296,296,298,301,306,313,320,327,NA,327,NA,NA,NA,"0",12.3666666666667,12.5,16.4166666666667,4,9,14,21,28,35,NA,NA,35,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"high"
19,"mid",25,10,42,3,NA,"10/17/18","10/22/18",12:38:00,1,"10/22/18",52.13,"255.76",3,"10/26/18",10:20:00,"10/28/18",20:45:00,"10/26/18",235.53,"11/2/18",798.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11/6/18",5,0,"1600.24",20,20,0,"11/12/18",19,2,17,0.89,3.78,1,1,"21",22,NA,NA,NA,NA,NA,"wasp colony density low at ovp","1 immature 2nd, saved in the same tube as the 1 mature 2nd. some large plaques, the 1 mature 2nd was covered in melanin",0,291,296,296,300,302,300,307,NA,NA,NA,NA,NA,NA,311,317,"0",12.6333333333333,10.3333333333333,20.75,5,9,16,NA,NA,NA,NA,NA,NA,20,15,21,0.909090909090909,0.863636363636364,0.222352941176471,0.445,2,0.5,0.5,"high"
20,"control",25,10,42,3,NA,"10/17/18","10/22/18",12:50:00,1,"10/22/18",47.45,"FALSE",NA,NA,NA,NA,NA,"10/28/18",296.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11/4/18",4,0,"1552.74",49,22,27,"11/10/18",17,4,13,1.06,2.31,33,17,"82",99,NA,NA,NA,NA,NA,"wasp colony density low at ovp","17 immature 2nds, mostly small. some could have been 1sts. at least 3 1sts",0,291,296,296,0,NA,302,NA,NA,NA,NA,NA,NA,NA,309,315,"0",12.8333333333333,NA,NA,5,11,NA,NA,NA,NA,NA,NA,NA,18,13,19,0.494949494949495,0.171717171717172,0.177692307692308,0.265,50,0.66,0.34,"none"
21,"control",25,10,0,0,NA,"10/17/18","10/22/18",12:20:00,1,"10/22/18",56.32,"FALSE",NA,NA,NA,NA,NA,"10/26/18",209.41,"11/1/18",1335.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11/5/18",5,0,"3028.13",63,59,4,"11/12/18",51,11,40,3.49,10.06,16,1,"79",80,NA,NA,NA,NA,NA,"wasp colony density low at ovp","1 small immature 2nd, not saved",0,291,296,296,0,NA,300,306,NA,NA,NA,NA,NA,NA,310,317,"0",12.3333333333333,NA,NA,5,9,15,NA,NA,NA,NA,NA,NA,19,14,21,0.7875,0.6375,0.2515,0.317272727272727,17,0.941176470588235,0.0588235294117647,"none"
22,"early",25,10,42,3,NA,"10/17/18","10/22/18",12:21:00,1,"10/22/18",43.37,"43.37",3,"10/22/18",12:30:00,"10/24/18",16:25:00,"10/28/18",139.7,"11/1/18",602.01,"11/8/18",4773.28,"5","11/15/18",9586.41,"5","11/22/18",14821.11,"cull",NA,NA,NA,"11/22/18","14821.11",NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"0",0,NA,NA,NA,NA,NA,"wasp colony density low at ovp. purple and dying on 11/24/18, marked last p5 measurement as cull",NA,0,291,296,296,296,298,302,306,313,320,327,NA,327,NA,NA,NA,"0",12.35,12.5,16.4166666666667,5,11,15,22,29,36,NA,NA,36,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"high"
23,"mid",25,10,42,3,NA,"10/17/18","10/22/18",12:37:00,1,"10/22/18",55.72,"307.89",3,"10/26/18",10:20:00,"10/28/18",20:45:00,"10/27/18",230.97,"11/3/18",730.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11/8/18",5,0,"1589.03",57,52,5,"11/14/18",43,10,33,3.01,7.24,4,0,"61",61,NA,NA,NA,NA,NA,"wasp colony density low at ovp. removed cuticle from all prolegs at molt to 4th--proleg damaged, bled. removed cuticle from 3rd-5th prolegs at molt to 5th","47 mature 2nds, 20 immature 2nds, 15 1sts. duplicated, or data entered in wrong row dish with label 23 found on 12/2/19--put back in freezer to figure out later",0,291,296,296,300,302,301,308,NA,NA,NA,NA,NA,NA,313,319,"0",12.6166666666667,10.3333333333333,20.75,5,10,17,NA,NA,NA,NA,NA,NA,22,17,23,0.934426229508197,0.704918032786885,0.219393939393939,0.301,4,1,0,"high"
24,"late",25,10,42,3,NA,"10/17/18","10/22/18",12:48:00,1,"10/22/18",57.46,"1001.26",5,"11/2/18",09:15:00,"11/4/18",17:45:00,"10/28/18",331.72,"11/1/18",793.56,"11/8/18",2433.63,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11/8/18",5,1,"1843.53",42,28,14,"11/15/18",16,0,16,0,2.97,47,20,"89",109,NA,NA,NA,NA,NA,"wasp colony density low at ovp",NA,0,291,296,296,307,309,302,306,313,NA,NA,NA,NA,NA,313,320,"0",12.8,9.25,17.75,5,11,15,22,NA,NA,NA,NA,NA,22,17,24,0.385321100917431,0.146788990825688,0.185625,NA,67,0.701492537313433,0.298507462686567,"high"
25,"mid",25,10,42,3,NA,"10/17/18","10/22/18",12:36:00,1,"10/22/18",57.93,"262.61",4,"10/26/18",10:20:00,"10/28/18",20:45:00,"10/26/18",262.61,"11/1/18",1101.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11/6/18",5,0,"3179.6",62,59,3,"11/12/18",46,26,20,10.82,5.92,10,0,"72",72,NA,NA,NA,NA,NA,"wasp colony density low at ovp","mostly mature 2nds, 1 large 1st not counted",0,291,296,296,300,302,300,306,NA,NA,NA,NA,NA,NA,311,317,"0",12.6,10.3333333333333,20.75,5,9,15,NA,NA,NA,NA,NA,NA,20,15,21,0.861111111111111,0.638888888888889,0.296,0.416153846153846,10,1,0,"high"
26,"late",25,10,42,3,NA,"10/17/18","10/22/18",12:55:00,1,"10/22/18",60.43,"3816.33",5,"10/31/18",09:05:00,"11/2/18",16:20:00,"10/25/18",284.42,"10/30/18",2203.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11/5/18",NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"0",0,NA,NA,1,NA,NA,"wasp colony density low at ovp",NA,0,291,296,296,305,307,299,304,NA,NA,NA,NA,NA,310,NA,NA,"0",12.9166666666667,9.08333333333333,16.3333333333333,5,8,13,NA,NA,NA,NA,19,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"high"
