"id","shock.stage","temp.avg","temp.var","hs.temp","hs.num","date.died","date.hatch","date.ovp","time.ovp","num.ovp","date.3","mass.3","mass.in.hs","inst.in.hs","date.in.hs","time.in.hs","date.out.hs","time.out.hs","date.4","mass.4","date.5","mass.5","date.p5.1","mass.p5.1","instar.p5.1","date.p5.2","mass.p5.2","inst.p5.2","date.p5.3","mass.p5.3","inst.p5.3","date.p5.4","mass.p5.4","inst.p5.4","date.cull","mass.cull","date.wand","mass.wand","date.em","instar.em","bled.em","mass.48em","num.em","num.coc","num.fail.spin","date.ecl","num.ecl","fem.ecl","male.ecl","fem.mass","male.mass","num.unem.mat","num.unem.im","mat.load","tot.load","mass.unem","mass.fail.spin","pup","moth.ecl","pv.dna","gen.notes","diss.notes","date.died.j","date.hatch.j","date.ovp.j","date.3.j","date.in.hs.j","date.out.hs.j","date.4.j","date.5.j","date.p5.1.j","date.p5.2.j","date.p5.3.j","date.p5.4.j","date.cull.j","date.wand.j","date.em.j","date.ecl.j","died.bf5","time.ovp.dec","time.in.hs.dec","time.out.hs.dec","tt3","tt4","tt5","ttp5.1","ttp5.2","ttp5.3","ttp5.4","ttwand","ttcull","ttem.h","ttem.w","ttecl","ps.em","ps.ecl","ind.male.mass","ind.fem.mass","tot.unem","p.unem.mat","p.unem.im","hs.cal"
27,"mid",25,10,42,3,"11/6/18","10/17/18","10/22/18",12:40:00,1,"10/22/18",52.94,"267.06",3,"10/26/18",10:20:00,"10/28/18",20:45:00,"10/28/18",220.65,"11/3/18",751.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"0",0,NA,NA,NA,NA,NA,"wasp colony density low at ovp. removed cuticle from thoracic legs and prolegs at molt to 4th. did not molt over thoracic legs at molt to 5th--removed",NA,311,291,296,296,300,302,302,308,NA,NA,NA,NA,NA,NA,NA,NA,"1",12.6666666666667,10.3333333333333,20.75,5,11,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"high"
28,"late",25,10,42,3,NA,"10/17/18","10/22/18",12:54:00,1,"10/22/18",60.27,"2082.12",5,"11/1/18",08:10:00,"11/3/18",16:45:00,"10/26/18",281.15,"10/31/18",1603.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11/7/18",5,0,"3412.98",14,10,4,"11/14/18",5,0,5,0,1.45,59,19,"73",92,NA,NA,NA,NA,NA,"wasp colony density low at ovp","19 immature 2nds of various sizes. 1 1st",0,291,296,296,306,308,300,305,NA,NA,NA,NA,NA,NA,312,319,"0",12.9,8.16666666666667,16.75,5,9,14,NA,NA,NA,NA,NA,NA,21,16,23,0.152173913043478,0.0543478260869565,0.29,NA,78,0.756410256410256,0.243589743589744,"high"
29,"mid",25,10,42,3,NA,"10/17/18","10/22/18",12:44:00,3,"10/22/18",54.46,"333.89",4,"10/26/18",10:20:00,"10/28/18",20:45:00,"10/26/18",333.89,"11/1/18",2428.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11/6/18",5,0,"6080.92",280,216,64,"11/12/18",125,49,76,11.24,13.74,92,9,"372",381,NA,NA,NA,NA,NA,"wasp colony density low at ovp","9 immature 2nds, some could have been 1sts",0,291,296,296,300,302,300,306,NA,NA,NA,NA,NA,NA,311,317,"0",12.7333333333333,10.3333333333333,20.75,5,9,15,NA,NA,NA,NA,NA,NA,20,15,21,0.73490813648294,0.328083989501312,0.180789473684211,0.229387755102041,101,0.910891089108911,0.0891089108910891,"high"
30,"late",25,10,42,3,"10/28/18","10/17/18","10/22/18",12:53:00,2,"10/22/18",46,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"0",0,NA,NA,NA,NA,NA,"wasp colony density low at ovp",NA,302,291,296,296,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",12.8833333333333,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"none"
31,"early",25,10,42,3,"10/24/18","10/17/18","10/22/18",12:20:00,1,"10/22/18",43.57,"43.57",3,"10/22/18",12:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"0",0,NA,NA,NA,NA,NA,"wasp colony density low at ovp",NA,298,291,296,296,296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",12.3333333333333,12.5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"high"
32,"mid",25,10,42,3,"10/29/18","10/17/18","10/22/18",12:42:00,2,"10/22/18",56.31,"243.38",3,"10/26/18",10:20:00,"10/28/18",20:45:00,"10/28/18",204.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"0",0,NA,NA,NA,NA,NA,"wasp colony density low at ovp. did not shed over thoracic legs at molt to 4th, could not remove",NA,303,291,296,296,300,302,302,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",12.7,10.3333333333333,20.75,5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"high"
33,"late",25,10,42,3,NA,"10/17/18","10/22/18",12:52:00,1,"10/22/18",68.18,"2403.21",5,"10/31/18",09:05:00,"11/2/18",16:20:00,"10/25/18",237.39,"10/30/18",1813.78,"11/6/18",4581.04,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11/6/18",5,0,"4379.77",6,1,5,NA,0,0,0,0,0,91,51,"97",148,NA,NA,NA,NA,NA,"wasp colony density low at ovp","51 immature 2nds of various sizes. at least 8 1sts",0,291,296,296,305,307,299,304,311,NA,NA,NA,NA,NA,311,NA,"0",12.8666666666667,9.08333333333333,16.3333333333333,5,8,13,20,NA,NA,NA,NA,NA,20,15,NA,0.0405405405405405,0,NA,NA,142,0.640845070422535,0.359154929577465,"high"
34,"control",25,10,0,0,NA,"10/17/18","10/22/18",12:32:00,2,"10/22/18",54.9,"FALSE",NA,NA,NA,NA,NA,"10/26/18",290.55,"11/1/18",1480.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11/5/18",5,0,"4051.51",102,97,5,"11/11/18",90,26,64,9.29,20.99,23,0,"125",125,NA,NA,NA,NA,NA,"wasp colony density low at ovp",NA,0,291,296,296,0,NA,300,306,NA,NA,NA,NA,NA,NA,310,316,"0",12.5333333333333,NA,NA,5,9,15,NA,NA,NA,NA,NA,NA,19,14,20,0.816,0.72,0.32796875,0.357307692307692,23,1,0,"none"
35,"early",25,10,42,3,NA,"10/17/18","10/22/18",12:19:00,2,"10/22/18",57.58,"57.58",3,"10/22/18",12:30:00,"10/24/18",16:25:00,"10/28/18",492.15,"11/1/18",1614.11,"11/8/18",13719.26,"5","11/15/18",15947.56,"5","11/22/18",15892.67,"5",NA,NA,NA,"11/27/18","14741.79",NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"0",0,NA,NA,NA,NA,NA,"wasp colony density low at ovp",NA,0,291,296,296,296,298,302,306,313,320,327,NA,332,NA,NA,NA,"0",12.3166666666667,12.5,16.4166666666667,5,11,15,22,29,36,NA,NA,41,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"high"
36,"mid",25,10,42,3,NA,"10/17/18","10/22/18",12:41:00,1,"10/22/18",40.9,"295.47",3,"10/26/18",10:20:00,"10/28/18",20:45:00,"10/27/18",270.82,"11/2/18",1350.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"3073.84",39,39,0,"11/12/18",35,5,30,2.8,10.14,7,0,"46",46,NA,NA,NA,NA,NA,"wasp colony density low at ovp",NA,0,291,296,296,300,302,301,307,NA,NA,NA,NA,NA,NA,NA,317,"0",12.6833333333333,10.3333333333333,20.75,5,10,16,NA,NA,NA,NA,NA,NA,NA,NA,21,0.847826086956522,0.760869565217391,0.338,0.56,7,1,0,"high"
37,"late",25,10,42,3,NA,"10/17/18","10/22/18",13:00:00,1,"10/22/18",56.41,"1447.24",5,"11/2/18",09:15:00,"11/4/18",17:45:00,"10/26/18",266.92,"11/1/18",1195.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11/8/18",5,1,"2204.84",42,13,29,"11/15/18",4,0,4,0,0.95,23,3,"65",68,NA,NA,NA,NA,NA,"wasp colony density low at ovp",NA,0,291,296,296,307,309,300,306,NA,NA,NA,NA,NA,NA,313,320,"0",13,9.25,17.75,5,9,15,NA,NA,NA,NA,NA,NA,22,17,24,0.617647058823529,0.0588235294117647,0.2375,NA,26,0.884615384615385,0.115384615384615,"high"
38,"control",25,10,0,0,NA,"10/17/18","10/22/18",12:31:00,2,"10/22/18",52.86,"FALSE",NA,NA,NA,NA,NA,"10/26/18",230.34,"10/31/18",1558.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11/5/18",5,0,"3631.7",116,85,31,"11/11/18",55,9,46,2.62,9.7,25,1,"141",142,NA,NA,NA,NA,NA,"wasp colony density low at ovp","1 immature 2nd, not saved",0,291,296,296,0,NA,300,305,NA,NA,NA,NA,NA,NA,310,316,"0",12.5166666666667,NA,NA,5,9,14,NA,NA,NA,NA,NA,NA,19,14,20,0.816901408450704,0.387323943661972,0.210869565217391,0.291111111111111,26,0.961538461538462,0.0384615384615385,"none"
39,"early",25,10,42,3,NA,"10/17/18","10/22/18",12:18:00,1,"10/22/18",48.06,"48.06",3,"10/22/18",12:30:00,"10/24/18",16:25:00,"10/28/18",350.44,"11/1/18",1433.04,"11/8/18",13014.09,"5","11/15/18",15939.25,"5","11/22/18",15952.68,"5",NA,NA,NA,"11/27/18","14056.54",NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"0",0,NA,NA,NA,NA,NA,"wasp colony density low at ovp",NA,0,291,296,296,296,298,302,306,313,320,327,NA,332,NA,NA,NA,"0",12.3,12.5,16.4166666666667,5,11,15,22,29,36,NA,NA,41,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"high"
40,"mid",25,10,42,3,NA,"10/17/18","10/22/18",12:47:00,2,"10/22/18",59.14,"364.78",3,"10/26/18",10:20:00,"10/28/18",20:45:00,"10/28/18",494.18,"11/2/18",1511.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11/6/18",5,0,"3306.02",55,52,3,"11/13/18",44,23,21,7.35,4.93,16,2,"71",73,NA,NA,NA,NA,NA,"wasp colony density low at ovp","mostly mature 2nds, 2 immature 2nds not counted, saved in separate tube",0,291,296,296,300,302,302,307,NA,NA,NA,NA,NA,NA,311,318,"0",12.7833333333333,10.3333333333333,20.75,5,11,16,NA,NA,NA,NA,NA,NA,20,15,22,0.753424657534247,0.602739726027397,0.234761904761905,0.319565217391304,18,0.888888888888889,0.111111111111111,"high"
41,"late",25,10,42,3,NA,"10/17/18","10/22/18",12:59:00,1,"10/22/18",43.56,"2611.98",5,"11/1/18",08:10:00,"11/3/18",16:45:00,"10/26/18",274.49,"10/31/18",1884.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11/7/18",5,0,"3481.61",53,38,15,"11/14/18",14,9,5,2.48,0.83,45,23,"98",121,NA,NA,NA,NA,NA,"wasp colony density low at ovp. counted 16 fts at cocoon couting, but could only find 15 at dissection to save. replaced fts column so that mass per larvae is not affected","23 immature 2nds of various sizes. no 1sts",0,291,296,296,306,308,300,305,NA,NA,NA,NA,NA,NA,312,319,"0",12.9833333333333,8.16666666666667,16.75,5,9,14,NA,NA,NA,NA,NA,NA,21,16,23,0.43801652892562,0.115702479338843,0.166,0.275555555555556,68,0.661764705882353,0.338235294117647,"high"
42,"mid",25,10,42,3,NA,"10/17/18","10/22/18",12:46:00,1,"10/22/18",66.89,"343.32",3,"10/26/18",10:20:00,"10/28/18",20:45:00,"10/26/18",302.97,"11/1/18",1768.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11/5/18",5,0,"3727.24",75,58,17,"11/11/18",22,2,20,0.79,4.44,25,0,"100",100,NA,NA,NA,NA,NA,"wasp colony density low at ovp","could only find 15 fts wasp larvae",0,291,296,296,300,302,300,306,NA,NA,NA,NA,NA,NA,310,316,"0",12.7666666666667,10.3333333333333,20.75,5,9,15,NA,NA,NA,NA,NA,NA,19,14,20,0.75,0.22,0.222,0.395,25,1,0,"high"
43,"late",25,10,42,3,"10/28/18","10/17/18","10/22/18",12:58:00,2,"10/22/18",54.23,"FALSE",NA,NA,NA,NA,NA,"10/27/18",158.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"0",0,NA,NA,NA,NA,NA,"wasp colony density low at ovp. removed cuticle from 5th prolegs at molt to 4th",NA,302,291,296,296,0,NA,301,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",12.9666666666667,NA,NA,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"none"
44,"mid",25,10,42,3,"10/28/18","10/17/18","10/22/18",12:45:00,1,"10/22/18",56.63,"212.14",3,"10/26/18",10:20:00,NA,NA,"10/27/18",179.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"0",0,NA,NA,NA,NA,NA,"wasp colony density low at ovp. did not shed over thoracic legs at molt to 4th, could not remove. died during heat shock",NA,302,291,296,296,300,NA,301,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",12.75,10.3333333333333,NA,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"high"
45,"late",25,10,42,3,NA,"10/17/18","10/22/18",12:56:00,1,"10/22/18",62.42,"2885.84",5,"11/2/18",09:15:00,"11/4/18",17:45:00,"10/27/18",265.61,"11/1/18",1836.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11/8/18",5,0,"3753.82",16,9,7,"11/15/18",4,1,3,0.24,0.61,92,2,"108",110,NA,NA,NA,NA,NA,"wasp colony density low at ovp","almost all mature 2nds, 1 or 2 smaller, included in unem tube. 1 large first for small 2nd, not counted",0,291,296,296,307,309,301,306,NA,NA,NA,NA,NA,NA,313,320,"0",12.9333333333333,9.25,17.75,5,10,15,NA,NA,NA,NA,NA,NA,22,17,24,0.145454545454545,0.0363636363636364,0.203333333333333,0.24,94,0.978723404255319,0.0212765957446809,"high"
46,"mid",25,10,42,3,NA,"10/17/18","10/22/18",12:44:00,1,"10/22/18",61.78,"291.88",3,"10/26/18",10:20:00,"10/28/18",20:45:00,"10/27/18",289.52,"11/2/18",1424.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11/7/18",5,0,"3215.76",118,112,6,"11/13/18",85,40,45,11.7,9.31,9,1,"127",128,NA,NA,NA,NA,NA,"wasp colony density low at ovp. removed cuticle from all prolegs at molt to 4th","1 immture 2nd. 1 small 1st",0,291,296,296,300,302,301,307,NA,NA,NA,NA,NA,NA,312,318,"0",12.7333333333333,10.3333333333333,20.75,5,10,16,NA,NA,NA,NA,NA,NA,21,16,22,0.921875,0.6640625,0.206888888888889,0.2925,10,0.9,0.1,"high"
47,"early",25,10,42,3,NA,"10/18/18","10/23/18",09:18:00,2,"10/23/18",71.18,"71.18",3,"10/23/18",09:30:00,"10/25/18",16:07:00,"10/28/18",472.13,"11/2/18",2251.83,"11/9/18",15359.82,"5","11/16/18",19941.78,"5","11/23/18",19033.75,"cull",NA,NA,NA,"11/23/18","19033.75",NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"0",0,NA,NA,NA,NA,NA,"wasp colony density low at ovp. purple and dying on 11/24/18, marked last p5 measurement as cull",NA,0,292,297,297,297,299,302,307,314,321,328,NA,328,NA,NA,NA,"0",9.3,9.5,16.1166666666667,5,10,15,22,29,36,NA,NA,36,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"high"
48,"mid",25,10,42,3,"11/6/18","10/18/18","10/23/18",09:13:00,1,"10/23/18",55.39,"290.88",3,"10/27/18",11:33:00,"10/30/18",08:56:00,"10/28/18",256.88,"11/4/18",821.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"0",0,NA,NA,NA,NA,NA,"wasp colony density low at ovp. did not shed over thoracic legs at molt to 4th, could not remove. was left one night longer in the heat shock than supposed to be. removed cuticle from 3-5th prolegs at molt to 5th",NA,311,292,297,297,301,304,302,309,NA,NA,NA,NA,NA,NA,NA,NA,"1",9.21666666666667,11.55,8.93333333333333,5,10,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"high"
49,"late",25,10,42,3,NA,"10/18/18","10/23/18",09:23:00,2,"10/23/18",66.37,"2717.12",5,"11/2/18",09:15:00,NA,NA,"10/28/18",598.39,"11/1/18",1986.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11/8/18",5,0,"3948.37",5,1,4,NA,0,0,0,0,0,86,14,"91",105,NA,NA,NA,NA,NA,"wasp colony density low at ovp","14 immature 2nds of various sizes, all saved together in separate tube. 1 1st",0,292,297,297,307,NA,302,306,NA,NA,NA,NA,NA,NA,313,NA,"0",9.38333333333333,9.25,NA,5,10,14,NA,NA,NA,NA,NA,NA,21,16,NA,0.0476190476190476,0,NA,NA,100,0.86,0.14,"high"
50,"control",25,10,0,0,NA,"10/18/18","10/23/18",09:27:00,1,"10/23/18",71.13,"FALSE",NA,NA,NA,NA,NA,"10/28/18",246.38,"11/1/18",1207.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11/6/18",5,0,"3846.77",170,141,29,"11/12/18",98,76,22,24.69,4.65,20,0,"190",190,NA,NA,NA,NA,NA,"wasp colony density low at ovp","found 1 small 1st instar. Otherwise, all mature 2nds. Found 4 oval structures that did not seem to be eggs. Unsure what they were. took pictures",0,292,297,297,0,NA,302,306,NA,NA,NA,NA,NA,NA,311,317,"0",9.45,NA,NA,5,10,14,NA,NA,NA,NA,NA,NA,19,14,20,0.894736842105263,0.515789473684211,0.211363636363636,0.324868421052632,20,1,0,"none"
51,"early",25,10,42,3,NA,"10/18/18","10/23/18",09:16:00,1,"10/23/18",38.93,"38.93",3,"10/23/18",09:30:00,"10/25/18",16:07:00,"10/27/18",173.83,"11/3/18",273.87,"11/10/18",1077.94,"5","11/17/18",5846.49,"5","11/24/18",7594.49,"cull",NA,NA,NA,"11/24/18","7594.49",NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"0",0,NA,NA,NA,NA,NA,"wasp colony density low at ovp. removed cuticle from 4-5th prolegs at molt to 4th. removed cuticle from 4th proleg after molt into 5th. date 6: 11/11/18. mass 6: 1017.07. purple and dying on 11/24/18, marked last p5 measurement as cull",NA,0,292,297,297,297,299,301,308,315,322,329,NA,329,NA,NA,NA,"0",9.26666666666667,9.5,16.1166666666667,5,9,16,23,30,37,NA,NA,37,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"high"
52,"mid",25,10,42,3,"10/29/18","10/18/18","10/23/18",09:12:00,1,"10/23/18",52.35,"302.23",3,"10/27/18",11:33:00,NA,NA,"10/28/18",255.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"0",0,NA,NA,NA,NA,NA,"wasp colony density low at ovp",NA,303,292,297,297,301,NA,302,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",9.2,11.55,NA,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"high"
53,"late",25,10,42,3,NA,"10/18/18","10/23/18",09:22:00,1,"10/23/18",71.96,"2186.11",5,"11/2/18",09:15:00,"11/4/18",17:45:00,"10/28/18",546.96,"11/1/18",1467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11/8/18",5,0,"3178.9",29,19,10,"11/16/18",2,1,1,0.2,0.24,51,6,"80",86,NA,NA,NA,NA,NA,"wasp colony density low at ovp","Mostly mature 2nds. 6 immature 2nds, saved in separate tube. 2 1st instars",0,292,297,297,307,309,302,306,NA,NA,NA,NA,NA,NA,313,321,"0",9.36666666666667,9.25,17.75,5,10,14,NA,NA,NA,NA,NA,NA,21,16,24,0.337209302325581,0.0232558139534884,0.24,0.2,57,0.894736842105263,0.105263157894737,"high"
54,"control",25,10,0,0,NA,"10/18/18","10/23/18",09:25:00,1,"10/23/18",62.41,"FALSE",NA,NA,NA,NA,NA,"10/28/18",463.37,"11/1/18",1535.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11/5/18",5,0,"3647.36",122,99,23,"11/12/18",81,43,38,12.24,8.44,9,0,"131",131,NA,NA,NA,NA,NA,"wasp colony density low at ovp","1 1st instar, no immature 2nds",0,292,297,297,0,NA,302,306,NA,NA,NA,NA,NA,NA,310,317,"0",9.41666666666667,NA,NA,5,10,14,NA,NA,NA,NA,NA,NA,18,13,20,0.931297709923664,0.618320610687023,0.222105263157895,0.284651162790698,9,1,0,"none"
55,"early",25,10,42,3,NA,"10/17/18","10/23/18",09:14:00,1,"10/23/18",59.12,"59.12",3,"10/23/18",09:30:00,"10/25/18",16:07:00,"10/28/18",419.92,"11/2/18",1562.73,"11/9/18",15145.24,"5","11/16/18",18726.68,"5","11/23/18",13135.64,"dead",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"0",0,NA,NA,NA,NA,NA,"wasp colony density low at ovp",NA,0,291,297,297,297,299,302,307,314,321,328,NA,NA,NA,NA,NA,"0",9.23333333333333,9.5,16.1166666666667,6,11,16,23,30,37,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"high"
56,"mid",25,10,42,3,NA,"10/17/18","10/23/18",09:11:00,1,"10/23/18",77.2,"439.64",4,"10/27/18",11:33:00,"10/30/18",08:56:00,"10/27/18",439.64,"11/2/18",1745.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11/7/18",5,0,"3821.09",65,39,26,"11/13/18",14,0,14,0,3.26,19,0,"84",84,NA,NA,NA,NA,NA,"wasp colony density low at ovp.  was left one night longer in the heat shock than supposed to be.","found a second that appeared to be stuck in it's cuticle. pic available",0,291,297,297,301,304,301,307,NA,NA,NA,NA,NA,NA,312,318,"0",9.18333333333333,11.55,8.93333333333333,6,10,16,NA,NA,NA,NA,NA,NA,21,15,21,0.773809523809524,0.166666666666667,0.232857142857143,NA,19,1,0,"high"
57,"late",25,10,42,3,"10/25/18","10/17/18","10/23/18",09:21:00,2,"10/23/18",51.28,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"0",0,NA,NA,NA,NA,NA,"did not shed over 5th prolegs at molt to 3rd--removed. wasp colony density low at ovp",NA,299,291,297,297,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",9.35,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"none"
58,"control",25,10,0,0,"10/25/18","10/17/18","10/23/18",09:24:00,2,"10/23/18",41.71,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"0",0,NA,NA,NA,NA,NA,"did not shed over 5th prolegs at molt to 3rd--removed. wasp colony density low at ovp",NA,299,291,297,297,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",9.4,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"none"
59,"mid",25,10,42,3,"10/29/18","10/17/18","10/23/18",09:10:00,1,"10/23/18",63.05,"196.50",3,"10/27/18",11:33:00,NA,NA,"10/28/18",166.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"0",0,NA,NA,NA,NA,NA,"wasp colony density low at ovp. removed cuticle from 4-5th prolegs at molt to 4th",NA,303,291,297,297,301,NA,302,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",9.16666666666667,11.55,NA,6,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"high"
60,"late",25,10,42,3,"10/28/18","10/17/18","10/23/18",09:20:00,1,"10/23/18",66.19,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"0",0,NA,NA,NA,NA,NA,"wasp colony density low at ovp",NA,302,291,297,297,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",9.33333333333333,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"none"
61,"mid",25,10,42,3,NA,"10/17/18","10/23/18",09:09:00,1,"10/23/18",62.2,"1203.13",4,"10/27/18",11:33:00,"10/30/18",08:56:00,"10/25/18",242.59,"11/4/18",1259.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11/10/18","10474.53",NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"0",0,NA,NA,NA,NA,NA,"wasp colony density low at ovp.  was left one night longer in the heat shock than supposed to be.",NA,0,291,297,297,301,304,299,309,NA,NA,NA,NA,NA,315,NA,NA,"0",9.15,11.55,8.93333333333333,6,8,18,NA,NA,NA,NA,24,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"high"
